Birthweight,Mother_age,Live_births,Stillbirths,,Early_neonatal,Neonatal,Post-neonatal,Infant,,Rates_Stillbirths,,Rates_Perinatal,,Rates_Neonatal,,Rates_Post-neonatal,,Rates_Infant,
          ,20-24    ,33601,42,,9,20,27,47,,1.2,,1.5,,0.6,,0.8,,1.4,
          ,25-29    ,64824,76,,23,31,31,62,,1.2,,1.5,,0.5,,0.5,,1.0,
          ,30-34    ,74492,74,,18,29,29,58,,1.0,,1.2,,0.4,,0.4,,0.8,
          ,35-39    ,42850,56,,13,19,14,33,,1.3,,1.6,,0.4,u,0.3,u,0.8,
          ,40 & over,10319,17,,2,5,5,10,,1.6,u,1.8,u,0.5,u,0.5,u,1.0,u
,Not stated,0,1,,0,0,0,0,,,u,,u,,u,,u,,u
,,,,,,,,,,,,,,,,,,,
3500-3999 ,All      ,189146,114,,32,45,60,105,,0.6,,0.8,,0.2,,0.3,,0.6,
          ,<20      ,4603,2,,4,4,5,9,,,u,1.3,u,0.9,u,1.1,u,2.0,u
          ,20-24    ,24286,13,,6,9,14,23,,0.5,u,0.8,u,0.4,u,0.6,u,0.9,
          ,25-29    ,52294,36,,5,7,14,21,,0.7,,0.8,,0.1,u,0.3,u,0.4,
          ,30-34    ,63833,32,,9,11,16,27,,0.5,,0.6,,0.2,u,0.3,u,0.4,
          ,35-39    ,36600,24,,7,13,8,21,,0.7,,0.8,,0.4,u,0.2,u,0.6,
          ,40 & over,7530,5,,1,1,3,4,,0.7,u,0.8,u,,u,0.4,u,0.5,u
,Not stated,0,2,,0,0,0,0,,,u,,u,,u,,u,,u
,,,,,,,,,,,,,,,,,,,
4000 and  ,All      ,66266,69,,17,30,13,43,,1.0,,1.3,,0.5,,0.2,u,0.6,
over      ,<20      ,1198,3,,0,0,0,0,,2.5,u,2.5,u,,u,,u,,u
          ,20-24    ,7447,8,,1,1,3,4,,1.1,u,1.2,u,,u,0.4,u,0.5,u
          ,25-29    ,18041,12,,2,5,4,9,,0.7,u,0.8,u,0.3,u,0.2,u,0.5,u
          ,30-34    ,23495,24,,10,14,3,17,,1.0,,1.4,,0.6,u,0.1,u,0.7,u
          ,35-39    ,13815,16,,4,10,3,13,,1.2,u,1.4,,0.7,u,0.2,u,0.9,u
          ,40 & over,2270,6,,0,0,0,0,,2.6,u,2.6,u,,u,,u,,u
,Not stated,0,0,,0,0,0,0,,,u,,u,,u,,u,,u
,,,,,,,,,,,,,,,,,,,
Not stated,All      ,13884,13,,196,256,105,361,,0.9,u,15.0,,18.4,,7.6,,26.0,
          ,<20      ,404,0,,11,12,5,17,,,u,27.2,u,29.7,u,12.4,u,42.1,u
          ,20-24    ,1912,0,,31,44,17,61,,,u,16.2,,23.0,,8.9,u,31.9,
          ,25-29    ,3622,3,,46,62,24,86,,0.8,u,13.5,,17.1,,6.6,,23.7,
          ,30-34    ,4487,5,,56,72,34,106,,1.1,u,13.6,,16.0,,7.6,,23.6,
          ,35-39    ,2715,3,,39,51,15,66,,1.1,u,15.5,,18.8,,5.5,u,24.3,
          ,40 & over,736,2,,11,13,10,23,,,u,17.6,u,17.7,u,13.6,u,31.2,
,Not stated,8,0,,2,2,0,2,,,u,,u,,u,,u,,u
,,,,,,,,,,,,,,,,,,,
1 Linked infant deaths are those that have been successfully linked to their corresponding birth registration record.,,,,,,,,,,,,,,,,,,,
"2 Stillbirths and perinatal deaths per 1,000 live births and stillbirths. Neonatal, postneonatal and infant deaths per 1,000 live births.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,Released: ,43881,,,,,,,,,,,,,
